Line	File Name	Source Function Name	Binary Address	Binary Function Name	Matching Rule \ Information
0028	lauxlib	luaL_checkudata	0x1404D13F0	sub_1404D13F0	Single called (xref) option
0029	lauxlib	luaL_checktype	0x1404D14B0	sub_1404D14B0	Single called (xref) option
0030	lauxlib	luaL_checkany	0x1404D14F0	sub_1404D14F0	Single called (xref) option
0031	lauxlib	luaL_checklstring	0x1404D1530	sub_1404D1530	Single called (xref) option
0032	lauxlib	luaL_optlstring	0x1404D15C0	sub_1404D15C0	Single called (xref) option
0033	lauxlib	luaL_checknumber	0x1404D1640	sub_1404D1640	Single called (xref) option
0034	lauxlib	luaL_optnumber	0x1404D16A0	sub_1404D16A0	Neighbour matching
0035	lauxlib	luaL_checkinteger	0x1404D1710	sub_1404D1710	Single called (xref) option
0036	lauxlib	luaL_checkboolean	0x1404D1760	sub_1404D1760	Score-based Matching
0037	lauxlib	luaL_optboolean	0x1404D17E0	sub_1404D17E0	Neighbour matching
0038	lauxlib	luaL_optinteger	0x1404D1830	sub_1404D1830	Neighbour matching
0039	lauxlib	luaL_openlib	0x1404D18A0	sub_1404D18A0	Agent - File-unique string / const
0040	lauxlib	luaL_gsub	0x1404D1A20	sub_1404D1A20	Neighbour matching
0041	lauxlib	luaL_checkoption	0x1404D1E80	sub_1404D1E80	Score-based Matching
0042	lauxlib	luaL_register	0x1404D1F40	sub_1404D1F40	Single called (xref) option
0486	ldebug	currentline	0x1404D1F50	sub_1404D1F50	Single called (xref) option
0487	ldebug	lua_sethook	0x1404D1FA0	sub_1404D1FA0	Single called (xref) option
0489	ldebug	lua_gethookmask	0x1404D1FD0	?GetOwningRing@VirtualProcessor@details@Concurrency@@QEAAPEAVSchedulingRing@23@XZ_1	Neighbour matching
0490	ldebug	lua_gethookcount	0x1404D1FE0	sub_1404D1FE0	Neighbour matching
0491	ldebug	lua_getstack	0x1404D1FF0	sub_1404D1FF0	Agent - File-unique string / const
0493	ldebug	findlocal	0x1404D2070	sub_1404D2070	Single called (xref) option
0494	ldebug	lua_getlocal	0x1404D2120	sub_1404D2120	Single called (xref) option
0495	ldebug	lua_setlocal	0x1404D2190	sub_1404D2190	Single called (xref) option
0496	ldebug	funcinfo	0x1404D2200	sub_1404D2200	Score-based Matching
0498	ldebug	collectvalidlines	0x1404D2290	sub_1404D2290	Single called (xref) option
0500	ldebug	luaG_checkopenop	0x1404D2360	sub_1404D2360	Single called (xref) option
0501	ldebug	checkArgMode	0x1404D2390	sub_1404D2390	Neighbour matching
0502	ldebug	symbexec	0x1404D23E0	sub_1404D23E0	Single called (xref) option
0503	ldebug	luaG_checkcode	0x1404D29D0	sub_1404D29D0	Single called (xref) option
0505	ldebug	getobjname	0x1404D29F0	sub_1404D29F0	Anchor - Complex unique string / const
0506	ldebug	getfuncname	0x1404D2C00	sub_1404D2C00	Neighbour matching
0508	ldebug	addinfo	0x1404D2CC0	sub_1404D2CC0	Single called (xref) option
