Line	File Name	Source Function Name	Binary Address	Binary Function Name	Matching Rule \ Information
0130	lfunc	luaF_freeclosure	0x14047D3C0	sub_14047D3C0	Neighbour matching
0131	lfunc	luaF_getlocalname	0x14047D3F0	sub_14047D3F0	Single called (xref) option
0132	linit	luaL_openlibs	0x140477500	sub_140477500	Single caller (xref) option
0133	liolib	pushresult	N/A	N/A	ifdeffed out / inlined
0134	liolib	fileerror	0x140485230	sub_140485230	Score-based Matching
0135	liolib	io_type	0x1404852A0	sub_1404852A0	Neighbour matching
0136	liolib	tofile	0x140485370	sub_140485370	Score-based Matching
0137	liolib	newfile	0x1404853D0	sub_1404853D0	Single called (xref) option
0138	liolib	io_noclose	N/A	N/A	ifdeffed out / inlined
0139	liolib	io_pclose	0x140485420	sub_140485420	Neighbour matching
0140	liolib	io_fclose	0x1404854E0	sub_1404854E0	Neighbour matching
0141	liolib	aux_close	0x140485590	sub_140485590	Score-based Matching
0142	liolib	io_close	0x1404855D0	sub_1404855D0	Score-based Matching
0143	liolib	io_gc	0x140485660	sub_140485660	Neighbour matching
0144	liolib	io_tostring	0x1404856D0	sub_1404856D0	Agent - File-unique string / const
0145	liolib	io_open	N/A	N/A	ifdeffed out / inlined
0146	liolib	io_popen	0x140485730	sub_140485730	Last (referenced) function in file
0147	liolib	io_tmpfile	0x140485970	sub_140485970	Score-based Matching
0148	liolib	getiofile	0x140486230	sub_140486230	Score-based Matching
0149	liolib	g_iofile	0x140485A20	sub_140485A20	Score-based Matching
0150	liolib	io_input	0x140485AF0	sub_140485AF0	Neighbour matching
0151	liolib	io_output	0x140485B10	sub_140485B10	Single caller (xref) option
0152	liolib	read_number	N/A	N/A	ifdeffed out / inlined
0153	liolib	test_eof	N/A	N/A	ifdeffed out / inlined
0154	liolib	read_line	0x140485B30	sub_140485B30	Single called (xref) option
0155	liolib	read_chars	0x140485C40	sub_140485C40	Neighbour matching
0156	liolib	g_read	0x140485D00	sub_140485D00	Agent - File-unique string / const
0157	liolib	io_read	0x140485F00	sub_140485F00	Neighbour matching
0158	liolib	f_read	0x140485F70	sub_140485F70	Neighbour matching
0159	liolib	io_readline	0x140485FD0	sub_140485FD0	Agent - File-unique string / const
0160	liolib	g_write	0x1404860D0	sub_1404860D0	Neighbour matching
0161	liolib	io_write	N/A	N/A	ifdeffed out / inlined
0162	liolib	f_write	0x1404862A0	sub_1404862A0	Score-based Matching
0163	liolib	f_seek	0x140486300	sub_140486300	Score-based Matching
0164	liolib	f_setvbuf	0x140486400	sub_140486400	Score-based Matching
0165	liolib	io_flush	0x1404864F0	sub_1404864F0	Score-based Matching
0166	liolib	f_flush	0x1404865C0	sub_1404865C0	Score-based Matching
0167	liolib	createmeta	N/A	N/A	ifdeffed out / inlined
